"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"ENGINEERING, BIOMEDICAL - SCIE"	2.23493591715094e-38	0.925216583555706	"SCIE"	"ENGINEERING, BIOMEDICAL"	89	13972	"2020 JIF"
"ENGINEERING, CIVIL - SCIE"	2.04500754311219e-41	0.860746995463054	"SCIE"	"ENGINEERING, CIVIL"	137	29487	"2020 JIF"
"ENGINEERING, AEROSPACE - SCIE"	2.39555670584128e-08	0.792098553867082	"SCIE"	"ENGINEERING, AEROSPACE"	34	5090	"2020 JIF"
"ENGINEERING, ENVIRONMENTAL - SCIE"	3.4566894226109e-29	0.955307389749396	"SCIE"	"ENGINEERING, ENVIRONMENTAL"	54	25027	"2020 JIF"
"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE"	1.05328490837962e-133	0.945148462903894	"SCIE"	"ENGINEERING, ELECTRICAL & ELECTRONIC"	273	99147	"2020 JIF"
"ENGINEERING, INDUSTRIAL - SCIE"	7.08953152232138e-26	0.952330158270898	"SCIE"	"ENGINEERING, INDUSTRIAL"	49	7517	"2020 JIF"
"ENGINEERING, GEOLOGICAL - SCIE"	1.59329270152375e-26	0.973254414938822	"SCIE"	"ENGINEERING, GEOLOGICAL"	41	6859	"2020 JIF"
"ANTHROPOLOGY - SSCI"	9.45801841252303e-25	0.829538834438067	"SSCI"	"ANTHROPOLOGY"	93	4079	"2020 JIF"
"AREA STUDIES - SSCI"	3.0147120356782e-20	0.815931433823457	"SSCI"	"AREA STUDIES"	80	3422	"2020 JIF"
"ENGINEERING, MECHANICAL - SCIE"	1.38381131319814e-25	0.753115648005067	"SCIE"	"ENGINEERING, MECHANICAL"	133	25900	"2020 JIF"
"ENGINEERING, MULTIDISCIPLINARY - SCIE"	9.590664465517e-29	0.869854920425077	"SCIE"	"ENGINEERING, MULTIDISCIPLINARY"	90	26046	"2020 JIF"
"ENGINEERING, MANUFACTURING - SCIE"	5.06098054742581e-15	0.850936227617893	"SCIE"	"ENGINEERING, MANUFACTURING"	50	9260	"2020 JIF"
"ENGINEERING, PETROLEUM - SCIE"	4.02825657369693e-09	0.927507072421642	"SCIE"	"ENGINEERING, PETROLEUM"	20	2912	"2020 JIF"
"ENGINEERING, MARINE - SCIE"	1.87319749802969e-05	0.860700150596701	"SCIE"	"ENGINEERING, MARINE"	16	3173	"2020 JIF"
"ENGINEERING, OCEAN - SCIE"	4.69766528266206e-11	0.978915912506316	"SCIE"	"ENGINEERING, OCEAN"	16	3591	"2020 JIF"
"ENTOMOLOGY - SCIE"	1.18057842819019e-27	0.834677424932532	"SCIE"	"ENTOMOLOGY"	102	8930	"2020 JIF"
"ENVIRONMENTAL SCIENCES - SCIE"	1.5730014180569e-114	0.922599868229606	"SCIE"	"ENVIRONMENTAL SCIENCES"	274	100296	"2020 JIF"
"ENVIRONMENTAL STUDIES - SSCI"	3.06019187528172e-36	0.8512149424866	"SSCI"	"ENVIRONMENTAL STUDIES"	125	22344	"2020 JIF"
"ETHICS - SSCI"	5.31647337460973e-17	0.854673802814948	"SSCI"	"ETHICS"	56	3201	"2020 JIF"
"ERGONOMICS - SSCI"	6.83566049496286e-06	0.880315365150538	"SSCI"	"ERGONOMICS"	16	2147	"2020 JIF"
"FOOD SCIENCE & TECHNOLOGY - SCIE"	1.19142426078824e-34	0.811094156382529	"SCIE"	"FOOD SCIENCE & TECHNOLOGY"	143	31613	"2020 JIF"
"EVOLUTIONARY BIOLOGY - SCIE"	1.46603612611738e-13	0.826386698858438	"SCIE"	"EVOLUTIONARY BIOLOGY"	50	6656	"2020 JIF"
