"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"ETHNIC STUDIES - SSCI"	0.023386205816315	0.517070934676625	"SSCI"	"ETHNIC STUDIES"	19	1597	"Immediacy Index"
"FILM, RADIO, TELEVISION - AHCI"	1.62615836124484e-05	0.700590845812716	"AHCI"	"FILM, RADIO, TELEVISION"	30	790	"Immediacy Index"
"FAMILY STUDIES - ESCI"	0.000233807419235161	0.77826442826876	"ESCI"	"FAMILY STUDIES"	17	513	"Immediacy Index"
"FOOD SCIENCE & TECHNOLOGY - ESCI"	3.10560816338172e-05	0.805921864444676	"ESCI"	"FOOD SCIENCE & TECHNOLOGY"	19	1142	"Immediacy Index"
"FORESTRY - ESCI"	0.00931910712443752	0.594152863958156	"ESCI"	"FORESTRY"	18	632	"Immediacy Index"
"ETHNIC STUDIES - ESCI"	0.113295731673082	0.426062878175475	"ESCI"	"ETHNIC STUDIES"	15	358	"Immediacy Index"
"FOLKLORE - AHCI"	0.0349719982156889	0.513582161754134	"AHCI"	"FOLKLORE"	17	289	"Immediacy Index"
"FILM, RADIO, TELEVISION - ESCI"	0.911630286197087	0.0224166765342725	"ESCI"	"FILM, RADIO, TELEVISION"	27	513	"Immediacy Index"
"FISHERIES - ESCI"	0.141732498835126	0.975319493208431	"ESCI"	"FISHERIES"	3	122	"Immediacy Index"
"EVOLUTIONARY BIOLOGY - ESCI"	NA	-1	"ESCI"	"EVOLUTIONARY BIOLOGY"	2	48	"Immediacy Index"
"GENETICS & HEREDITY - SCIE"	2.12660303980753e-35	0.770013851978368	"SCIE"	"GENETICS & HEREDITY"	174	22955	"Immediacy Index"
"GASTROENTEROLOGY & HEPATOLOGY - SCIE"	1.97899902601629e-17	0.743882072489363	"SCIE"	"GASTROENTEROLOGY & HEPATOLOGY"	92	11647	"Immediacy Index"
"GEOCHEMISTRY & GEOPHYSICS - SCIE"	2.042886319276e-15	0.727833353622533	"SCIE"	"GEOCHEMISTRY & GEOPHYSICS"	86	12928	"Immediacy Index"
"GEOGRAPHY - SSCI"	4.81895501055364e-08	0.553261757758417	"SSCI"	"GEOGRAPHY"	84	6759	"Immediacy Index"
"GENETICS & HEREDITY - ESCI"	0.261693909379999	0.370726520415547	"ESCI"	"GENETICS & HEREDITY"	11	869	"Immediacy Index"
"GEOGRAPHY - ESCI"	1.71706524962905e-09	0.630693887291729	"ESCI"	"GEOGRAPHY"	74	2487	"Immediacy Index"
"GASTROENTEROLOGY & HEPATOLOGY - ESCI"	0.00169007146544647	0.498463330986665	"ESCI"	"GASTROENTEROLOGY & HEPATOLOGY"	37	2041	"Immediacy Index"
"GEOCHEMISTRY & GEOPHYSICS - ESCI"	0.00534675010319669	0.721761454014534	"ESCI"	"GEOCHEMISTRY & GEOPHYSICS"	13	482	"Immediacy Index"
"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE"	6.99023727272953e-07	0.668749569637057	"SCIE"	"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"	44	25592	"Immediacy Index"
"GEOSCIENCES, MULTIDISCIPLINARY - SCIE"	2.44351047356312e-30	0.701341622420936	"SCIE"	"GEOSCIENCES, MULTIDISCIPLINARY"	196	36296	"Immediacy Index"
"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI"	2.41361036847687e-05	0.965559057293622	"SSCI"	"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"	9	11022	"Immediacy Index"
"GEOLOGY - SCIE"	0.00717035260136772	0.38720324635087	"SCIE"	"GEOLOGY"	47	3435	"Immediacy Index"
"GERONTOLOGY - SSCI"	1.22676793293294e-06	0.710161305990816	"SSCI"	"GERONTOLOGY"	36	5141	"Immediacy Index"
"GERIATRICS & GERONTOLOGY - SCIE"	7.27108877235212e-08	0.660764536818862	"SCIE"	"GERIATRICS & GERONTOLOGY"	53	9066	"Immediacy Index"
"GEOGRAPHY, PHYSICAL - SCIE"	8.16917082977263e-11	0.772210629692447	"SCIE"	"GEOGRAPHY, PHYSICAL"	49	8584	"Immediacy Index"
"GEOSCIENCES, MULTIDISCIPLINARY - ESCI"	8.57136094485895e-07	0.703054532625627	"ESCI"	"GEOSCIENCES, MULTIDISCIPLINARY"	38	1811	"Immediacy Index"
"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI"	0.022604799283989	0.564905563546082	"ESCI"	"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"	16	847	"Immediacy Index"
"GERIATRICS & GERONTOLOGY - ESCI"	0.00438822476639406	0.732711569492361	"ESCI"	"GERIATRICS & GERONTOLOGY"	13	494	"Immediacy Index"
"GERONTOLOGY - ESCI"	0.115776775701169	0.529140427685025	"ESCI"	"GERONTOLOGY"	10	305	"Immediacy Index"
"GEOGRAPHY, PHYSICAL - ESCI"	0.136147188911206	0.505440368997209	"ESCI"	"GEOGRAPHY, PHYSICAL"	10	259	"Immediacy Index"
"GEOLOGY - ESCI"	1.40207450890283e-05	0.91203461336692	"ESCI"	"GEOLOGY"	13	367	"Immediacy Index"
"HEMATOLOGY - SCIE"	1.92265152329067e-09	0.622558900199406	"SCIE"	"HEMATOLOGY"	76	10820	"Immediacy Index"
"HEALTH CARE SCIENCES & SERVICES - SCIE"	3.02263655299975e-14	0.651403151933489	"SCIE"	"HEALTH CARE SCIENCES & SERVICES"	107	16553	"Immediacy Index"
"HEALTH POLICY & SERVICES - SSCI"	1.27772512626931e-05	0.446819280647003	"SSCI"	"HEALTH POLICY & SERVICES"	88	9202	"Immediacy Index"
"HEALTH CARE SCIENCES & SERVICES - ESCI"	0.0039026319054103	0.446207698530457	"ESCI"	"HEALTH CARE SCIENCES & SERVICES"	40	2142	"Immediacy Index"
"HEALTH POLICY & SERVICES - ESCI"	0.00342198477614672	0.573054294443336	"ESCI"	"HEALTH POLICY & SERVICES"	24	935	"Immediacy Index"
"HEMATOLOGY - ESCI"	0.0402484027549467	0.501548571005609	"ESCI"	"HEMATOLOGY"	17	563	"Immediacy Index"
"HISTORY & PHILOSOPHY OF SCIENCE - SSCI"	5.09905812469413e-06	0.605613670271022	"SSCI"	"HISTORY & PHILOSOPHY OF SCIENCE"	48	2292	"Immediacy Index"
"HISTORY & PHILOSOPHY OF SCIENCE - SCIE"	6.98245756773341e-09	0.652255209145267	"SCIE"	"HISTORY & PHILOSOPHY OF SCIENCE"	63	2911	"Immediacy Index"
"HISTORY & PHILOSOPHY OF SCIENCE - AHCI"	1.57190743080607e-08	0.621313234268814	"AHCI"	"HISTORY & PHILOSOPHY OF SCIENCE"	68	2875	"Immediacy Index"
"HISTORY - AHCI"	3.13587869971369e-20	0.512599049228544	"AHCI"	"HISTORY"	281	7286	"Immediacy Index"
"HISTORY - SSCI"	0.000991990213836923	0.322843338644896	"SSCI"	"HISTORY"	101	3035	"Immediacy Index"
"HISTORY - ESCI"	0.0605690377448723	0.141751117991592	"ESCI"	"HISTORY"	176	4564	"Immediacy Index"
"HISTORY & PHILOSOPHY OF SCIENCE - ESCI"	0.0037065165399255	0.63185233635518	"ESCI"	"HISTORY & PHILOSOPHY OF SCIENCE"	19	368	"Immediacy Index"
"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI"	7.37899469951446e-06	0.551050275198123	"SSCI"	"HOSPITALITY, LEISURE, SPORT & TOURISM"	58	5580	"Immediacy Index"
"HORTICULTURE - SCIE"	5.94126289741789e-10	0.818751707999405	"SCIE"	"HORTICULTURE"	37	3924	"Immediacy Index"
"HUMANITIES, MULTIDISCIPLINARY - AHCI"	0.325385451660416	0.081958449811295	"AHCI"	"HUMANITIES, MULTIDISCIPLINARY"	146	3994	"Immediacy Index"
"HISTORY OF SOCIAL SCIENCES - SSCI"	0.0327925198102356	0.366930611764771	"SSCI"	"HISTORY OF SOCIAL SCIENCES"	34	1483	"Immediacy Index"
"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI"	8.40275906658851e-14	0.764120248006843	"ESCI"	"HOSPITALITY, LEISURE, SPORT & TOURISM"	66	3032	"Immediacy Index"
"HUMANITIES, MULTIDISCIPLINARY - ESCI"	4.77561970220287e-07	0.331697301980344	"ESCI"	"HUMANITIES, MULTIDISCIPLINARY"	220	6765	"Immediacy Index"
"HISTORY OF SOCIAL SCIENCES - ESCI"	0.703298125521517	0.296701874478483	"ESCI"	"HISTORY OF SOCIAL SCIENCES"	4	69	"Immediacy Index"
"IMMUNOLOGY - SCIE"	1.86327754777563e-20	0.645351421736429	"SCIE"	"IMMUNOLOGY"	162	25260	"Immediacy Index"
"INFECTIOUS DISEASES - SCIE"	2.00413747420948e-15	0.71656193008567	"SCIE"	"INFECTIOUS DISEASES"	90	17001	"Immediacy Index"
"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE"	6.78721084299988e-10	0.872667949614126	"SCIE"	"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"	29	9914	"Immediacy Index"
"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI"	6.23025554906767e-12	0.663250946715231	"SSCI"	"INFORMATION SCIENCE & LIBRARY SCIENCE"	84	5431	"Immediacy Index"
"INDUSTRIAL RELATIONS & LABOR - SSCI"	0.00039402913975382	0.605315464425384	"SSCI"	"INDUSTRIAL RELATIONS & LABOR"	30	1534	"Immediacy Index"
"INDUSTRIAL RELATIONS & LABOR - ESCI"	0.0104664104418236	0.558599553773139	"ESCI"	"INDUSTRIAL RELATIONS & LABOR"	20	451	"Immediacy Index"
"INFECTIOUS DISEASES - ESCI"	0.375150337765681	0.185317581625277	"ESCI"	"INFECTIOUS DISEASES"	25	1423	"Immediacy Index"
"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - ESCI"	NA	1	"ESCI"	"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"	2	146	"Immediacy Index"
"IMMUNOLOGY - ESCI"	0.0261743641552485	0.571082653290409	"ESCI"	"IMMUNOLOGY"	15	214	"Immediacy Index"
"INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI"	4.10963981821418e-10	0.648691264181482	"ESCI"	"INFORMATION SCIENCE & LIBRARY SCIENCE"	74	2318	"Immediacy Index"
"INSTRUMENTS & INSTRUMENTATION - SCIE"	2.26955878335768e-24	0.902570558214757	"SCIE"	"INSTRUMENTS & INSTRUMENTATION"	64	25945	"Immediacy Index"
"INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE"	0.00520449717184262	0.52220512004874	"SCIE"	"INTEGRATIVE & COMPLEMENTARY MEDICINE"	27	3861	"Immediacy Index"
"INTERNATIONAL RELATIONS - SSCI"	5.77795872683431e-05	0.402504494760521	"SSCI"	"INTERNATIONAL RELATIONS"	94	5400	"Immediacy Index"
"INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI"	0.369168073901106	0.300547080774919	"ESCI"	"INTEGRATIVE & COMPLEMENTARY MEDICINE"	11	381	"Immediacy Index"
"INSTRUMENTS & INSTRUMENTATION - ESCI"	0.0580237217878518	0.690411130859859	"ESCI"	"INSTRUMENTS & INSTRUMENTATION"	8	386	"Immediacy Index"
"INTERNATIONAL RELATIONS - ESCI"	6.13836209304295e-11	0.780440732324666	"ESCI"	"INTERNATIONAL RELATIONS"	48	1449	"Immediacy Index"
"ASTRONOMY & ASTROPHYSICS - SCIE"	7.17319970566831e-23	0.881573764154718	"SCIE"	"ASTRONOMY & ASTROPHYSICS"	67	22237	"Immediacy Index"
"BIOCHEMICAL RESEARCH METHODS - SCIE"	6.67414796755787e-32	0.916140036779838	"SCIE"	"BIOCHEMICAL RESEARCH METHODS"	78	14328	"Immediacy Index"
"AUTOMATION & CONTROL SYSTEMS - SCIE"	1.81735552780177e-13	0.769066464203875	"SCIE"	"AUTOMATION & CONTROL SYSTEMS"	63	14773	"Immediacy Index"
"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE"	0.00981996084771084	0.48796374661545	"SCIE"	"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"	27	3128	"Immediacy Index"
"BEHAVIORAL SCIENCES - SCIE"	1.73808443066266e-14	0.829195734871729	"SCIE"	"BEHAVIORAL SCIENCES"	53	6559	"Immediacy Index"
"ART - AHCI"	0.000620063187029561	0.388725955589157	"AHCI"	"ART"	74	1844	"Immediacy Index"
"ASIAN STUDIES - AHCI"	0.00619601389472567	0.341272356977496	"AHCI"	"ASIAN STUDIES"	63	1295	"Immediacy Index"
"AUTOMATION & CONTROL SYSTEMS - ESCI"	0.0493175192039467	0.554312312143603	"ESCI"	"AUTOMATION & CONTROL SYSTEMS"	13	769	"Immediacy Index"
"BIOCHEMICAL RESEARCH METHODS - ESCI"	0.78839969885679	0.21160030114321	"ESCI"	"BIOCHEMICAL RESEARCH METHODS"	4	80	"Immediacy Index"
"ASTRONOMY & ASTROPHYSICS - ESCI"	0.00107160931538467	0.820675337840147	"ESCI"	"ASTRONOMY & ASTROPHYSICS"	12	385	"Immediacy Index"
"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - ESCI"	0.72074254851643	0.188400718182033	"ESCI"	"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"	6	244	"Immediacy Index"
"ART - ESCI"	0.0148809497833149	0.339235938795147	"ESCI"	"ART"	51	962	"Immediacy Index"
"ASIAN STUDIES - ESCI"	0.316114595414683	0.22407416638117	"ESCI"	"ASIAN STUDIES"	22	379	"Immediacy Index"
"LANGUAGE & LINGUISTICS - AHCI"	1.34218427912203e-18	0.57560192740264	"AHCI"	"LANGUAGE & LINGUISTICS"	195	5520	"Immediacy Index"
"LANGUAGE & LINGUISTICS - ESCI"	2.43682379582204e-10	0.499706179602323	"ESCI"	"LANGUAGE & LINGUISTICS"	142	3702	"Immediacy Index"
"LIMNOLOGY - SCIE"	3.36272040962902e-07	0.868292236300093	"SCIE"	"LIMNOLOGY"	21	2696	"Immediacy Index"
"LAW - SSCI"	4.96821930956912e-17	0.627575253468081	"SSCI"	"LAW"	143	4523	"Immediacy Index"
"LAW - ESCI"	7.2071908981746e-09	0.358400909131204	"ESCI"	"LAW"	246	6605	"Immediacy Index"
"LINGUISTICS - SSCI"	3.26947967636959e-15	0.532148867273548	"SSCI"	"LINGUISTICS"	189	7450	"Immediacy Index"
"LITERARY REVIEWS - AHCI"	0.942184614133933	0.0116874675025342	"AHCI"	"LITERARY REVIEWS"	41	1196	"Immediacy Index"
"LINGUISTICS - ESCI"	0.00276826350129897	0.365324825803464	"ESCI"	"LINGUISTICS"	65	1148	"Immediacy Index"
"LITERATURE - AHCI"	0.000222598083013457	0.327023989549004	"AHCI"	"LITERATURE"	123	3265	"Immediacy Index"
"LITERARY THEORY & CRITICISM - AHCI"	0.476448136397284	-0.149245547262273	"AHCI"	"LITERARY THEORY & CRITICISM"	25	660	"Immediacy Index"
"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN - AHCI"	0.0249217068471574	0.923877919609945	"AHCI"	"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN"	5	148	"Immediacy Index"
"LITERATURE, ROMANCE - AHCI"	0.233827160226852	0.152167992425174	"AHCI"	"LITERATURE, ROMANCE"	63	1660	"Immediacy Index"
"LITERATURE, BRITISH ISLES - AHCI"	0.538780047941105	-0.160318737414406	"AHCI"	"LITERATURE, BRITISH ISLES"	17	328	"Immediacy Index"
"LITERATURE, AMERICAN - AHCI"	0.0511516686750663	0.495167557094141	"AHCI"	"LITERATURE, AMERICAN"	16	246	"Immediacy Index"
"LITERATURE, SLAVIC - AHCI"	0.23881496246356	0.410379129671004	"AHCI"	"LITERATURE, SLAVIC"	10	403	"Immediacy Index"
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI"	0.00727555010921813	0.580567636307985	"AHCI"	"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN"	20	382	"Immediacy Index"
"LITERATURE, ROMANCE - ESCI"	0.0821559227528427	0.289557059491702	"ESCI"	"LITERATURE, ROMANCE"	37	915	"Immediacy Index"
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - ESCI"	0.358039501767085	0.641960498232915	"ESCI"	"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN"	4	54	"Immediacy Index"
"LITERATURE - ESCI"	0.202403441038087	0.164131144554055	"ESCI"	"LITERATURE"	62	1553	"Immediacy Index"
"LITERARY THEORY & CRITICISM - ESCI"	8.28799442181958e-05	0.739893662893645	"ESCI"	"LITERARY THEORY & CRITICISM"	22	567	"Immediacy Index"
"LITERATURE, AMERICAN - ESCI"	0.0979310517703007	0.585082418248363	"ESCI"	"LITERATURE, AMERICAN"	9	114	"Immediacy Index"
"LITERATURE, SLAVIC - ESCI"	NA	1	"ESCI"	"LITERATURE, SLAVIC"	2	75	"Immediacy Index"
"MANAGEMENT - SSCI"	8.30048549352701e-29	0.653674341436116	"SSCI"	"MANAGEMENT"	225	16128	"Immediacy Index"
"MANAGEMENT - ESCI"	2.30117368515736e-18	0.629344531712115	"ESCI"	"MANAGEMENT"	154	5960	"Immediacy Index"
"LOGIC - SCIE"	0.00302101380515964	0.614765193530569	"SCIE"	"LOGIC"	21	881	"Immediacy Index"
"LOGIC - ESCI"	0.875172370450747	0.124827629549253	"ESCI"	"LOGIC"	4	83	"Immediacy Index"
"MATERIALS SCIENCE, COATINGS & FILMS - SCIE"	1.45054024070894e-05	0.798188701906864	"SCIE"	"MATERIALS SCIENCE, COATINGS & FILMS"	21	10152	"Immediacy Index"
"MATERIALS SCIENCE, BIOMATERIALS - SCIE"	5.47114123314811e-16	0.904175949030698	"SCIE"	"MATERIALS SCIENCE, BIOMATERIALS"	41	8948	"Immediacy Index"
"MATERIALS SCIENCE, CERAMICS - SCIE"	8.21652089123867e-11	0.89205945503684	"SCIE"	"MATERIALS SCIENCE, CERAMICS"	29	7855	"Immediacy Index"
"MATERIALS SCIENCE, COMPOSITES - SCIE"	1.18384190544102e-12	0.927982647205494	"SCIE"	"MATERIALS SCIENCE, COMPOSITES"	28	6283	"Immediacy Index"
"MARINE & FRESHWATER BIOLOGY - SCIE"	4.56333162066709e-18	0.715758813508179	"SCIE"	"MARINE & FRESHWATER BIOLOGY"	107	13447	"Immediacy Index"
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE"	0.0149503828049258	0.426401253270761	"SCIE"	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING"	32	4886	"Immediacy Index"
"MATERIALS SCIENCE, BIOMATERIALS - ESCI"	0.828682431093355	0.114714909961053	"ESCI"	"MATERIALS SCIENCE, BIOMATERIALS"	6	247	"Immediacy Index"
"MATERIALS SCIENCE, COMPOSITES - ESCI"	0.0491299213357997	0.879772914168732	"ESCI"	"MATERIALS SCIENCE, COMPOSITES"	5	302	"Immediacy Index"
"MARINE & FRESHWATER BIOLOGY - ESCI"	0.0079681696674729	0.926202423223098	"ESCI"	"MARINE & FRESHWATER BIOLOGY"	6	186	"Immediacy Index"
"MATERIALS SCIENCE, COATINGS & FILMS - ESCI"	NA	1	"ESCI"	"MATERIALS SCIENCE, COATINGS & FILMS"	2	51	"Immediacy Index"
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - ESCI"	0.0734449661458131	0.842194047965996	"ESCI"	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING"	5	169	"Immediacy Index"
"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE"	1.8262361996599e-73	0.792381834360774	"SCIE"	"MATERIALS SCIENCE, MULTIDISCIPLINARY"	335	144134	"Immediacy Index"
"MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE"	1.97035741504135e-14	0.807193545493611	"SCIE"	"MATHEMATICAL & COMPUTATIONAL BIOLOGY"	58	8186	"Immediacy Index"
"MATERIALS SCIENCE, TEXTILES - SCIE"	4.22912586220014e-10	0.906813695060049	"SCIE"	"MATERIALS SCIENCE, TEXTILES"	25	4435	"Immediacy Index"
"MATERIALS SCIENCE, PAPER & WOOD - SCIE"	8.66365452331497e-06	0.809823170717791	"SCIE"	"MATERIALS SCIENCE, PAPER & WOOD"	21	2575	"Immediacy Index"
"MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI"	0.91799077228636	-0.0403107315502636	"ESCI"	"MATHEMATICAL & COMPUTATIONAL BIOLOGY"	9	399	"Immediacy Index"
"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI"	6.45065893310743e-12	0.803211204071788	"ESCI"	"MATERIALS SCIENCE, MULTIDISCIPLINARY"	48	3367	"Immediacy Index"
"MATERIALS SCIENCE, PAPER & WOOD - ESCI"	NA	1	"ESCI"	"MATERIALS SCIENCE, PAPER & WOOD"	2	53	"Immediacy Index"
"MATERIALS SCIENCE, TEXTILES - ESCI"	0.476651109515789	0.732559533423117	"ESCI"	"MATERIALS SCIENCE, TEXTILES"	3	60	"Immediacy Index"
"MATHEMATICS - SCIE"	8.93526809043048e-17	0.437597184975855	"SCIE"	"MATHEMATICS"	328	34868	"Immediacy Index"
"MATHEMATICS - ESCI"	0.00575613465526081	0.233919781486454	"ESCI"	"MATHEMATICS"	138	6603	"Immediacy Index"
"MECHANICS - SCIE"	3.45960070110384e-09	0.479649355798263	"SCIE"	"MECHANICS"	136	28593	"Immediacy Index"
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE"	9.89030583744392e-13	0.61844930973217	"SCIE"	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"	108	16147	"Immediacy Index"
"MATHEMATICS, APPLIED - SCIE"	9.82275198736834e-30	0.622618238519342	"SCIE"	"MATHEMATICS, APPLIED"	264	32079	"Immediacy Index"
"MECHANICS - ESCI"	2.20098694072781e-05	0.814292817481388	"ESCI"	"MECHANICS"	19	725	"Immediacy Index"
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI"	0.255756795223585	0.274308101441982	"ESCI"	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"	19	725	"Immediacy Index"
"MATHEMATICS, APPLIED - ESCI"	2.84524215686853e-09	0.774410210447173	"ESCI"	"MATHEMATICS, APPLIED"	41	1840	"Immediacy Index"
"MEDICINE, GENERAL & INTERNAL - SCIE"	6.73066605459005e-42	0.824445637418635	"SCIE"	"MEDICINE, GENERAL & INTERNAL"	164	32758	"Immediacy Index"
"MEDICAL INFORMATICS - SCIE"	3.65606157016261e-07	0.780415385546224	"SCIE"	"MEDICAL INFORMATICS"	30	6149	"Immediacy Index"
"MEDICAL LABORATORY TECHNOLOGY - SCIE"	2.73410458057767e-07	0.794039373743942	"SCIE"	"MEDICAL LABORATORY TECHNOLOGY"	29	3258	"Immediacy Index"
"MEDICINE, LEGAL - SCIE"	0.0015273252003781	0.706351090266846	"SCIE"	"MEDICINE, LEGAL"	17	2213	"Immediacy Index"
"MEDICINE, GENERAL & INTERNAL - ESCI"	3.14017940946659e-07	0.420417472695372	"ESCI"	"MEDICINE, GENERAL & INTERNAL"	137	17374	"Immediacy Index"
"MEDICAL ETHICS - SCIE"	2.22600565872365e-05	0.857014200282952	"SCIE"	"MEDICAL ETHICS"	16	1016	"Immediacy Index"
"MEDICAL INFORMATICS - ESCI"	0.806676179372035	0.152428513593212	"ESCI"	"MEDICAL INFORMATICS"	5	263	"Immediacy Index"
"MEDICAL LABORATORY TECHNOLOGY - ESCI"	0.218925340760994	0.781074659239006	"ESCI"	"MEDICAL LABORATORY TECHNOLOGY"	4	199	"Immediacy Index"
"MEDICINE, LEGAL - ESCI"	0.00586748551564921	0.971114987091957	"ESCI"	"MEDICINE, LEGAL"	5	159	"Immediacy Index"
"MEDICAL ETHICS - ESCI"	0.218396755721657	0.781603244278343	"ESCI"	"MEDICAL ETHICS"	4	126	"Immediacy Index"
"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	8.04736746661062e-90	0.867228337064151	"SCIE"	"BIOCHEMISTRY & MOLECULAR BIOLOGY"	292	65058	"Immediacy Index"
"BIOPHYSICS - SCIE"	4.34755485784194e-09	0.628680134024325	"SCIE"	"BIOPHYSICS"	71	12608	"Immediacy Index"
"BIOLOGY - SCIE"	0.02551114358577	0.234114323505015	"SCIE"	"BIOLOGY"	91	15775	"Immediacy Index"
"BIODIVERSITY CONSERVATION - SCIE"	6.0010616943293e-13	0.77898613599615	"SCIE"	"BIODIVERSITY CONSERVATION"	58	6534	"Immediacy Index"
"BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI"	0.00804791080262044	0.675264556760481	"ESCI"	"BIOCHEMISTRY & MOLECULAR BIOLOGY"	14	462	"Immediacy Index"
"BIOLOGY - ESCI"	0.000839025221802947	0.686033387530405	"ESCI"	"BIOLOGY"	20	1512	"Immediacy Index"
"BIODIVERSITY CONSERVATION - ESCI"	0.00169863036561788	0.998301369634382	"ESCI"	"BIODIVERSITY CONSERVATION"	4	184	"Immediacy Index"
"BIOPHYSICS - ESCI"	NA	-1	"ESCI"	"BIOPHYSICS"	2	27	"Immediacy Index"
"METALLURGY & METALLURGICAL ENGINEERING - SCIE"	4.13950615062489e-27	0.883738946738806	"SCIE"	"METALLURGY & METALLURGICAL ENGINEERING"	79	28123	"Immediacy Index"
"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE"	3.99075633014437e-37	0.835161697166329	"SCIE"	"MEDICINE, RESEARCH & EXPERIMENTAL"	138	32781	"Immediacy Index"
"METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE"	3.41552147242078e-26	0.840264915731493	"SCIE"	"METEOROLOGY & ATMOSPHERIC SCIENCES"	94	16845	"Immediacy Index"
"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI"	0.000370992657681543	0.497747984188904	"ESCI"	"MEDICINE, RESEARCH & EXPERIMENTAL"	47	4045	"Immediacy Index"
"METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI"	6.87960573878281e-05	0.899276720048131	"ESCI"	"METEOROLOGY & ATMOSPHERIC SCIENCES"	12	474	"Immediacy Index"
"METALLURGY & METALLURGICAL ENGINEERING - ESCI"	0.0090791077766771	0.770666830093375	"ESCI"	"METALLURGY & METALLURGICAL ENGINEERING"	10	715	"Immediacy Index"
"MEDIEVAL & RENAISSANCE STUDIES - AHCI"	0.0215810325643297	0.353665976597128	"AHCI"	"MEDIEVAL & RENAISSANCE STUDIES"	42	739	"Immediacy Index"
"MEDIEVAL & RENAISSANCE STUDIES - ESCI"	0.0374053933706515	0.381690713268765	"ESCI"	"MEDIEVAL & RENAISSANCE STUDIES"	30	557	"Immediacy Index"
"MICROBIOLOGY - SCIE"	4.72965292897502e-16	0.625973611388959	"SCIE"	"MICROBIOLOGY"	135	26479	"Immediacy Index"
"MINING & MINERAL PROCESSING - SCIE"	9.63928117197154e-06	0.819922883863007	"SCIE"	"MINING & MINERAL PROCESSING"	20	4363	"Immediacy Index"
"MINERALOGY - SCIE"	4.2123387077618e-08	0.823121478390456	"SCIE"	"MINERALOGY"	29	4458	"Immediacy Index"
"MICROSCOPY - SCIE"	0.217336755090318	0.455996305355286	"SCIE"	"MICROSCOPY"	9	984	"Immediacy Index"
"MICROBIOLOGY - ESCI"	0.371017482492308	0.24890455378453	"ESCI"	"MICROBIOLOGY"	15	1763	"Immediacy Index"
"MINING & MINERAL PROCESSING - ESCI"	0.0475361161833905	0.671717014958958	"ESCI"	"MINING & MINERAL PROCESSING"	9	508	"Immediacy Index"
"MULTIDISCIPLINARY SCIENCES - SCIE"	1.58773395763637e-21	0.859779933627863	"SCIE"	"MULTIDISCIPLINARY SCIENCES"	70	68063	"Immediacy Index"
"NANOSCIENCE & NANOTECHNOLOGY - SCIE"	2.48190316740152e-29	0.837597842266934	"SCIE"	"NANOSCIENCE & NANOTECHNOLOGY"	107	47030	"Immediacy Index"
