"Journal name"	"Category"	"Total Citations"	"2020 JIF"	"2020 JCI"	"5 Year JIF"	"Immediacy Index"	"Eigenfactor"	"Article Influence Score"	"Total Articles"	"DB"	"Cat"
18658	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	899	NA	0.47	NA	0.171	0.001	0.306	38	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
4707	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	890	2.5	1.01	1.957	0.583	0.001	0.922	24	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18659	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	858	1.333	1.09	1.957	1.167	0.002	0.638	108	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
5355	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	855	1.923	2.08	2.577	0.174	0.001	0.661	23	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
11050	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	843	2.102	0.79	1.952	0.8	0.001	0.436	50	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
17871	"SOCIAL WORK - SSCI"	825	1.128	0.43	1.321	0.348	0.001	0.375	67	"SSCI"	"SOCIAL WORK"
823	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	824	1.942	0.58	1.643	1.194	0.001	0.441	67	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18660	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	804	2.018	0.92	2.613	0.574	0.001	0.797	51	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18661	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	795	NA	1.08	NA	0.452	0.001	0.565	31	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18662	"SOCIAL WORK - ESCI"	790	NA	0.55	NA	0.207	0.001	0.376	29	"ESCI"	"SOCIAL WORK"
18663	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	780	1.836	1.22	1.922	1.306	0.001	0.547	34	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
