"Journal name"	"Category"	"Total Citations"	"2020 JIF"	"2020 JCI"	"5 Year JIF"	"Immediacy Index"	"Eigenfactor"	"Article Influence Score"	"Total Articles"	"DB"	"Cat"
1	"AGRICULTURAL ENGINEERING - SCIE"	166941	9.642	1.67	9.237	2.742	0.103	1.244	1454	"SCIE"	"AGRICULTURAL ENGINEERING"
2	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	144042	5.279	1.48	5.269	1.027	0.055	0.831	1408	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
3	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	66689	4.034	1.5	4.354	0.928	0.031	0.644	972	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
4	"ALLERGY - SCIE"	63615	10.793	2.34	13.181	8.22	0.07	3.878	269	"SCIE"	"ALLERGY"
5	"ACOUSTICS - SCIE"	49404	1.84	0.8	2.001	0.474	0.022	0.522	805	"SCIE"	"ACOUSTICS"
6	"ANESTHESIOLOGY - SCIE"	45326	6.961	1.85	7.704	1.909	0.031	2.234	214	"SCIE"	"ANESTHESIOLOGY"
7	"AGRONOMY - SCIE"	44914	4.192	1.29	4.712	1.047	0.019	0.972	451	"SCIE"	"AGRONOMY"
8	"AGRONOMY - SCIE"	41583	5.645	1.61	5.749	1.43	0.034	0.774	976	"SCIE"	"AGRONOMY"
8	"AGRICULTURAL ENGINEERING - SCIE"	41583	5.645	1.61	5.749	1.43	0.034	0.774	976	"SCIE"	"AGRICULTURAL ENGINEERING"
9	"ACOUSTICS - SCIE"	41178	3.655	1.18	3.802	1.04	0.025	0.883	501	"SCIE"	"ACOUSTICS"
10	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	38102	3.159	1.27	2.912	0.817	0.014	0.525	376	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
11	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	33805	3.639	1.03	3.803	0.946	0.019	0.587	937	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
12	"ANESTHESIOLOGY - SCIE"	33319	7.892	2.56	8.139	5.479	0.024	2.483	166	"SCIE"	"ANESTHESIOLOGY"
13	"ANESTHESIOLOGY - SCIE"	31391	5.178	1.62	4.962	4.027	0.026	1.408	298	"SCIE"	"ANESTHESIOLOGY"
14	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	30896	3.352	1.6	3.679	0.802	0.014	0.547	749	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
15	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	30607	5.567	1.55	6.064	1.764	0.022	1.217	309	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
16	"ANESTHESIOLOGY - SCIE"	27510	9.166	2.49	9.097	6.01	0.029	2.666	161	"SCIE"	"ANESTHESIOLOGY"
17	"ACOUSTICS - SCIE"	26178	7.491	2.04	7.537	2.311	0.022	0.993	419	"SCIE"	"ACOUSTICS"
18	"ALLERGY - SCIE"	25131	13.146	2.1	9.723	8.355	0.023	2.31	275	"SCIE"	"ALLERGY"
19	"AGRONOMY - SCIE"	25125	5.699	1.84	5.565	1.512	0.013	1.228	245	"SCIE"	"AGRONOMY"
20	"AGRICULTURAL ENGINEERING - SCIE"	24521	5.061	0.89	4.815	1.032	0.013	0.788	325	"SCIE"	"AGRICULTURAL ENGINEERING"
21	"AGRONOMY - SCIE"	24457	5.734	2.03	5.964	1.43	0.021	1.361	335	"SCIE"	"AGRONOMY"
22	"AGRONOMY - SCIE"	24118	5.224	2.08	6.19	1.192	0.016	1.218	191	"SCIE"	"AGRONOMY"
23	"AGRONOMY - SCIE"	22839	2.319	0.86	2.631	1.054	0.008	0.566	270	"SCIE"	"AGRONOMY"
24	"AGRONOMY - SCIE"	22091	4.516	1.71	5.12	1.634	0.016	0.85	405	"SCIE"	"AGRONOMY"
25	"AGRONOMY - SCIE"	19917	2.24	0.85	2.829	0.661	0.008	0.572	410	"SCIE"	"AGRONOMY"
26	"ACOUSTICS - SCIE"	18164	7.299	1.97	7.214	5.147	0.019	1.997	177	"SCIE"	"ACOUSTICS"
27	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	17657	5.565	1.65	5.494	1.181	0.016	0.846	621	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
28	"AGRONOMY - SCIE"	17177	5.537	2.01	5.821	1.713	0.009	0.866	250	"SCIE"	"AGRONOMY"
29	"AGRONOMY - SCIE"	16883	4.845	2.04	4.674	1.213	0.014	0.907	629	"SCIE"	"AGRONOMY"
30	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	15084	3.247	1.52	3.806	0.653	0.007	0.652	268	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
31	"ANESTHESIOLOGY - SCIE"	13711	6.955	2.12	6.211	8.798	0.012	1.669	141	"SCIE"	"ANESTHESIOLOGY"
32	"AGRONOMY - SCIE"	12897	1.895	0.72	2.181	0.417	0.006	0.437	184	"SCIE"	"AGRONOMY"
33	"ACOUSTICS - SCIE"	12787	2.998	0.9	3.051	1.051	0.011	0.732	284	"SCIE"	"ACOUSTICS"
34	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	12482	2.448	1.14	2.843	0.665	0.005	0.522	147	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
35	"AGRONOMY - SCIE"	12426	2.571	1.1	3.11	0.913	0.008	0.575	294	"SCIE"	"AGRONOMY"
36	"ALLERGY - SCIE"	12340	5.018	1.01	5.247	1.555	0.01	1.366	120	"SCIE"	"ALLERGY"
37	"AGRICULTURAL ENGINEERING - SCIE"	11787	1.188	0.24	1.695	0.383	0.003	0.325	165	"SCIE"	"AGRICULTURAL ENGINEERING"
38	"ANATOMY & MORPHOLOGY - SCIE"	11655	2.61	1.29	3.151	0.633	0.006	0.866	246	"SCIE"	"ANATOMY & MORPHOLOGY"
39	"ANATOMY & MORPHOLOGY - SCIE"	11159	3.78	1.07	3.476	0.817	0.005	1.067	107	"SCIE"	"ANATOMY & MORPHOLOGY"
40	"ACOUSTICS - SCIE"	11100	2.725	0.95	2.752	0.85	0.007	0.666	269	"SCIE"	"ACOUSTICS"
41	"ALLERGY - SCIE"	10809	6.347	0.92	5.097	2.311	0.012	1.422	116	"SCIE"	"ALLERGY"
42	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	10396	3.24	1.6	3.223	1.239	0.009	0.641	317	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
43	"ANESTHESIOLOGY - SCIE"	10087	3.75	1.04	3.912	1.219	0.012	1.053	328	"SCIE"	"ANESTHESIOLOGY"
44	"AGRONOMY - SCIE"	10073	5.124	1.97	5.567	1.438	0.008	1.231	126	"SCIE"	"AGRONOMY"
45	"AGRICULTURAL ECONOMICS & POLICY - SCIE"	10054	4.082	1.92	4.461	0.832	0.006	1.575	112	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"
46	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	9924	4.123	1.26	4.508	1.121	0.007	0.769	224	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
46	"AGRICULTURAL ENGINEERING - SCIE"	9924	4.123	1.26	4.508	1.121	0.007	0.769	224	"SCIE"	"AGRICULTURAL ENGINEERING"
47	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	9840	2.145	0.93	2.281	0.455	0.005	0.42	197	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
48	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	9779	5.37	2.41	5.622	1.743	0.009	1.174	183	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
49	"ACOUSTICS - SCIE"	9425	2.153	0.63	2.275	1.389	0.009	0.573	404	"SCIE"	"ACOUSTICS"
50	"ALLERGY - SCIE"	9255	8.861	1.55	8.643	4.088	0.02	2.348	217	"SCIE"	"ALLERGY"
51	"ANESTHESIOLOGY - SCIE"	9206	3.934	1.15	4.068	0.873	0.009	1.109	175	"SCIE"	"ANESTHESIOLOGY"
52	"ACOUSTICS - SCIE"	9042	2.639	1.07	2.832	0.926	0.009	0.523	456	"SCIE"	"ACOUSTICS"
53	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	9037	1.943	0.98	2.252	0.45	0.006	0.428	353	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
54	"AGRONOMY - SCIE"	8971	2.59	0.96	2.924	0.692	0.005	0.622	208	"SCIE"	"AGRONOMY"
55	"AGRICULTURAL ECONOMICS & POLICY - SCIE"	8894	4.552	1.73	6.11	0.941	0.008	1.572	102	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"
56	"ANESTHESIOLOGY - SCIE"	8589	3.442	0.99	4.089	0.636	0.008	1.138	92	"SCIE"	"ANESTHESIOLOGY"
57	"AGRONOMY - SCIE"	8363	1.907	0.75	2.022	0.51	0.005	0.399	292	"SCIE"	"AGRONOMY"
58	"AGRONOMY - SCIE"	8303	1.327	0.33	1.315	0.323	0.003	0.21	264	"SCIE"	"AGRONOMY"
59	"ANATOMY & MORPHOLOGY - SCIE"	8278	3.27	1.38	4.093	0.825	0.018	1.352	177	"SCIE"	"ANATOMY & MORPHOLOGY"
60	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	8041	2.509	1	2.604	0.822	0.005	0.472	206	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
61	"ANESTHESIOLOGY - SCIE"	8032	5.063	1.12	4.362	9.238	0.006	1.277	117	"SCIE"	"ANESTHESIOLOGY"
62	"ACOUSTICS - SCIE"	8026	2.89	1.12	2.786	0.994	0.007	0.617	150	"SCIE"	"ACOUSTICS"
63	"ALLERGY - SCIE"	7977	6.6	1.21	6	1.769	0.004	0.927	112	"SCIE"	"ALLERGY"
64	"AGRONOMY - SCIE"	7913	5.832	1.05	9.354	0.809	0.007	1.85	27	"SCIE"	"AGRONOMY"
65	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	7878	1.611	0.78	1.813	0.477	0.004	0.329	171	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
66	"ANESTHESIOLOGY - SCIE"	7801	2.105	0.8	2.469	0.663	0.006	0.745	209	"SCIE"	"ANESTHESIOLOGY"
67	"ANESTHESIOLOGY - SCIE"	7161	6.288	1.92	6.077	1.729	0.009	1.605	124	"SCIE"	"ANESTHESIOLOGY"
68	"ANATOMY & MORPHOLOGY - SCIE"	7139	1.804	0.94	1.908	0.375	0.003	0.518	133	"SCIE"	"ANATOMY & MORPHOLOGY"
69	"AGRONOMY - SCIE"	7135	6.919	1.05	8.791	1.135	0.003	1.799	0	"SCIE"	"AGRONOMY"
70	"AGRONOMY - SCIE"	7099	3.417	0.94	3.64	0.783	0.007	0.519	1850	"SCIE"	"AGRONOMY"
71	"ANATOMY & MORPHOLOGY - SCIE"	7095	2.064	1.1	2.142	1.391	0.005	0.563	320	"SCIE"	"ANATOMY & MORPHOLOGY"
72	"ANESTHESIOLOGY - SCIE"	7080	2.628	0.58	2.21	1.821	0.008	0.511	299	"SCIE"	"ANESTHESIOLOGY"
73	"AGRONOMY - SCIE"	6980	2.713	0.94	2.868	0.844	0.003	0.633	75	"SCIE"	"AGRONOMY"
74	"AGRONOMY - SCIE"	6948	2.589	0.88	2.75	0.646	0.005	0.565	98	"SCIE"	"AGRONOMY"
75	"AGRICULTURAL ECONOMICS & POLICY - SCIE"	6936	2.518	0.97	3.046	0.573	0.004	0.391	292	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"
76	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	6875	2.752	1.28	2.942	0.613	0.008	0.458	2216	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
77	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	6718	2.75	0.99	2.942	0.922	0.002	0.57	79	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
78	"ANATOMY & MORPHOLOGY - SCIE"	6572	2.769	1.11	2.11	0.711	0.003	0.362	278	"SCIE"	"ANATOMY & MORPHOLOGY"
79	"ANESTHESIOLOGY - SCIE"	6425	4.97	1.08	4.548	1.638	0.007	0.916	98	"SCIE"	"ANESTHESIOLOGY"
80	"ACOUSTICS - SCIE"	6405	3.095	0.9	2.632	0.829	0.007	0.478	351	"SCIE"	"ACOUSTICS"
81	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	6312	2.095	0.99	2.266	0.597	0.002	0.377	127	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
82	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	6201	2.005	0.84	2.154	0.355	0.004	0.404	246	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
83	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	6044	1.476	0.56	1.891	0.283	0.002	0.396	60	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
84	"ALLERGY - SCIE"	5908	2.749	0.67	2.765	1.017	0.003	0.674	101	"SCIE"	"ALLERGY"
85	"ANESTHESIOLOGY - SCIE"	5810	2.556	0.95	2.655	0.525	0.005	0.663	177	"SCIE"	"ANESTHESIOLOGY"
86	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	5788	2.848	1.01	2.979	0.743	0.008	0.538	258	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
87	"ALLERGY - SCIE"	5778	6.377	1.53	5.326	1.906	0.006	1.235	160	"SCIE"	"ALLERGY"
88	"AGRONOMY - SCIE"	5761	2.426	0.71	3.029	0.506	0.003	0.589	79	"SCIE"	"AGRONOMY"
89	"ANESTHESIOLOGY - SCIE"	5577	9.452	1.47	4.067	4.596	0.007	1.042	66	"SCIE"	"ANESTHESIOLOGY"
90	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	5553	1.559	0.76	1.681	0.483	0.004	0.329	425	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
91	"AGRONOMY - SCIE"	5409	2.549	1.03	2.517	0.898	0.002	0.425	211	"SCIE"	"AGRONOMY"
92	"ANDROLOGY - SCIE"	5336	2.775	0.99	2.638	0.59	0.005	0.442	398	"SCIE"	"ANDROLOGY"
93	"ANESTHESIOLOGY - SCIE"	5302	4.33	1.49	4.941	1.233	0.007	1.455	93	"SCIE"	"ANESTHESIOLOGY"
94	"ANATOMY & MORPHOLOGY - SCIE"	5235	2.414	1.06	2.415	0.884	0.004	0.547	210	"SCIE"	"ANATOMY & MORPHOLOGY"
95	"ANDROLOGY - SCIE"	5215	3.285	1	4.237	1.365	0.005	0.877	73	"SCIE"	"ANDROLOGY"
96	"AGRICULTURAL ECONOMICS & POLICY - SCIE"	5072	2.585	1.15	3.86	0.883	0.003	0.975	58	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"
97	"AGRONOMY - SCIE"	5062	1.018	0.38	1.242	0.388	0.001	0.253	66	"SCIE"	"AGRONOMY"
98	"ALLERGY - SCIE"	5004	2.515	0.56	2.526	0.841	0.005	0.608	338	"SCIE"	"ALLERGY"
99	"ACOUSTICS - SCIE"	4881	1.543	0.38	1.767	0.203	0.007	0.335	594	"SCIE"	"ACOUSTICS"
100	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	4848	3.169	1.09	3.058	0.786	0.003	0.597	146	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
101	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	4826	2.13	1.04	2.322	0.601	0.004	0.415	238	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
102	"AGRICULTURAL ENGINEERING - SCIE"	4798	1.879	0.39	1.985	0.758	0.002	0.37	61	"SCIE"	"AGRICULTURAL ENGINEERING"
103	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	4647	1.088	0.4	1.386	0.09	0.003	0.345	99	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
104	"AGRONOMY - SCIE"	4571	1.832	0.55	1.956	0.72	0.002	0.391	105	"SCIE"	"AGRONOMY"
105	"ACOUSTICS - SCIE"	4568	3.919	1.32	3.906	0.412	0.008	0.843	243	"SCIE"	"ACOUSTICS"
106	"ANATOMY & MORPHOLOGY - SCIE"	4556	3.856	1.16	4.486	0.611	0.01	1.553	82	"SCIE"	"ANATOMY & MORPHOLOGY"
107	"ALLERGY - SCIE"	4546	8.667	1.27	7.756	3.728	0.006	1.979	59	"SCIE"	"ALLERGY"
108	"AGRONOMY - SCIE"	4501	1.703	0.61	1.841	0.46	0.002	0.324	126	"SCIE"	"AGRONOMY"
109	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	4473	4.297	1.6	4.925	0.838	0.005	1.086	66	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
110	"AGRONOMY - SCIE"	4355	1.524	0.55	1.713	0.613	0.002	0.305	226	"SCIE"	"AGRONOMY"
111	"ANATOMY & MORPHOLOGY - SCIE"	4351	1.246	0.48	1.39	0.368	0.003	0.308	250	"SCIE"	"ANATOMY & MORPHOLOGY"
112	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	4320	0.967	0.44	1.405	0.157	0.001	0.279	102	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
113	"AGRONOMY - SCIE"	4301	4.745	1.45	5.672	1.081	0.005	1.107	89	"SCIE"	"AGRONOMY"
114	"AGRONOMY - SCIE"	4294	0.803	0.25	0.887	0.203	0.003	0.185	235	"SCIE"	"AGRONOMY"
115	"AGRONOMY - SCIE"	4247	3.473	1.45	4.395	1.163	0.002	0.781	96	"SCIE"	"AGRONOMY"
116	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	4056	1.904	0.71	2.019	0.613	0.001	0.379	107	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
117	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3989	1.533	0.82	1.779	0.514	0.004	0.331	295	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
118	"AGRONOMY - SCIE"	3984	2.424	0.76	2.533	0.655	0.001	0.532	54	"SCIE"	"AGRONOMY"
119	"ACOUSTICS - SCIE"	3974	1.583	0.64	1.816	0.417	0.003	0.479	96	"SCIE"	"ACOUSTICS"
120	"ANDROLOGY - SCIE"	3870	3.842	1.33	4.359	1.409	0.006	0.964	200	"SCIE"	"ANDROLOGY"
121	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	3746	3.295	2.01	4.264	1.547	0.003	0.912	116	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
122	"AGRICULTURAL ENGINEERING - SCIE"	3587	3.281	0.88	3.727	0.671	0.001	0.565	73	"SCIE"	"AGRICULTURAL ENGINEERING"
123	"ACOUSTICS - SCIE"	3575	2.017	0.61	2.039	0.478	0.003	0.715	65	"SCIE"	"ACOUSTICS"
124	"ALLERGY - SCIE"	3557	3.142	0.5	3.644	0.977	0.003	0.898	0	"SCIE"	"ALLERGY"
125	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	3522	5.385	2.3	5.004	1.726	0.002	0.851	115	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
126	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3453	2.915	0.81	3.353	0.689	0.001	0.524	29	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
127	"ANESTHESIOLOGY - SCIE"	3446	3.051	0.74	2.813	1.473	0.004	0.681	83	"SCIE"	"ANESTHESIOLOGY"
128	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3399	1.178	0.58	1.572	0.527	0.001	0.258	92	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
129	"ALLERGY - SCIE"	3395	4.806	0.62	4.656	0.846	0.004	1.115	0	"SCIE"	"ALLERGY"
130	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - ESCI"	3385	NA	0.77	NA	0.171	0.004	0.325	340	"ESCI"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
131	"AGRONOMY - SCIE"	3381	3.092	0.9	2.745	0.749	0.003	0.416	339	"SCIE"	"AGRONOMY"
132	"ANESTHESIOLOGY - SCIE"	3336	2.706	0.63	2.824	0.65	0.004	0.748	0	"SCIE"	"ANESTHESIOLOGY"
133	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	3323	2.137	0.8	2.618	1.465	0.002	0.537	69	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
134	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3193	5.032	2.04	5.922	1.018	0.004	1.097	99	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
135	"ANESTHESIOLOGY - SCIE"	3187	3.183	0.92	2.986	0.869	0.004	0.726	103	"SCIE"	"ANESTHESIOLOGY"
136	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3179	2.217	1.07	2.376	0.481	0.002	0.387	154	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
137	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	3156	2.286	0.87	2.507	0.48	0.003	0.534	92	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
138	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3144	1.749	0.89	1.909	0.333	0.004	0.353	174	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
139	"ALLERGY - SCIE"	3122	5.836	0.9	5.953	2.857	0.005	1.389	31	"SCIE"	"ALLERGY"
140	"AGRONOMY - SCIE"	3099	1.799	0.72	2.169	0.667	0.002	0.344	86	"SCIE"	"AGRONOMY"
141	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	3098	1.015	0.48	1.094	0.239	0.001	0.222	86	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
142	"AGRONOMY - SCIE"	3047	2.94	1.13	3.214	0.914	0.001	0.612	58	"SCIE"	"AGRONOMY"
143	"ANESTHESIOLOGY - SCIE"	2964	2.217	0.71	2.477	0.361	0.006	0.681	272	"SCIE"	"ANESTHESIOLOGY"
144	"ANESTHESIOLOGY - SCIE"	2957	1.669	0.41	1.723	0.393	0.002	0.508	46	"SCIE"	"ANESTHESIOLOGY"
145	"ANATOMY & MORPHOLOGY - SCIE"	2943	2.698	1.34	2.593	1.045	0.003	0.569	97	"SCIE"	"ANATOMY & MORPHOLOGY"
146	"AGRONOMY - SCIE"	2929	4.783	1.66	5.23	0.679	0.003	1.077	78	"SCIE"	"AGRONOMY"
147	"ACOUSTICS - SCIE"	2911	6.548	1.65	5.379	2.419	0.003	1.334	58	"SCIE"	"ACOUSTICS"
148	"AGRONOMY - SCIE"	2907	2.63	0.89	2.52	0.63	0.002	0.482	43	"SCIE"	"AGRONOMY"
149	"AGRONOMY - SCIE"	2828	2.925	0.85	3.044	0.549	0.003	0.468	600	"SCIE"	"AGRONOMY"
150	"AGRICULTURAL ENGINEERING - SCIE"	2750	0.985	0.19	1.02	0.144	0.001	0.195	86	"SCIE"	"AGRICULTURAL ENGINEERING"
151	"AGRICULTURAL ECONOMICS & POLICY - SCIE"	2733	3.581	1.61	3.985	1.159	0.002	1.054	67	"SCIE"	"AGRICULTURAL ECONOMICS & POLICY"
152	"ANESTHESIOLOGY - SCIE"	2733	2.078	0.69	1.975	0.807	0.003	0.47	116	"SCIE"	"ANESTHESIOLOGY"
153	"ALLERGY - SCIE"	2703	7.033	0.68	5.295	3.219	0.002	1.105	21	"SCIE"	"ALLERGY"
154	"ANESTHESIOLOGY - ESCI"	2687	NA	0.54	NA	2.092	0.003	0.412	146	"ESCI"	"ANESTHESIOLOGY"
155	"ACOUSTICS - SCIE"	2667	2.02	0.62	1.761	0.76	0.003	0.488	102	"SCIE"	"ACOUSTICS"
156	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	2665	2.214	0.87	2.221	0.646	0.002	0.474	64	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
157	"ANATOMY & MORPHOLOGY - SCIE"	2663	2.466	0.76	2.235	0.385	0.002	0.422	102	"SCIE"	"ANATOMY & MORPHOLOGY"
158	"ACOUSTICS - SCIE"	2536	0.762	0.34	0.944	NA	0.002	0.309	0	"SCIE"	"ACOUSTICS"
159	"AGRONOMY - SCIE"	2536	2.086	0.57	2.632	0.686	0.002	0.544	57	"SCIE"	"AGRONOMY"
160	"ANATOMY & MORPHOLOGY - SCIE"	2531	2.481	0.59	2.783	0.344	0.001	0.561	30	"SCIE"	"ANATOMY & MORPHOLOGY"
161	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	2527	2.29	0.87	2.297	0.768	0.001	0.496	72	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
162	"ANESTHESIOLOGY - SCIE"	2519	2.502	0.86	2.155	0.731	0.003	0.451	271	"SCIE"	"ANESTHESIOLOGY"
163	"ANDROLOGY - SCIE"	2494	3.15	0.64	3.552	0.251	0.005	0.837	211	"SCIE"	"ANDROLOGY"
164	"ALLERGY - SCIE"	2492	4.084	0.69	4.942	1.258	0.003	1.128	78	"SCIE"	"ALLERGY"
165	"ANATOMY & MORPHOLOGY - SCIE"	2490	2.085	0.89	2.086	0.847	0.004	0.627	115	"SCIE"	"ANATOMY & MORPHOLOGY"
166	"ACOUSTICS - SCIE"	2488	0.91	0.28	1.107	0.185	0.001	0.288	174	"SCIE"	"ACOUSTICS"
167	"ALLERGY - SCIE"	2428	2.587	0.67	2.452	1.928	0.002	0.6	82	"SCIE"	"ALLERGY"
168	"AGRICULTURAL ENGINEERING - SCIE"	2416	0.997	0.16	1.186	0.242	0.002	0.248	120	"SCIE"	"AGRICULTURAL ENGINEERING"
169	"ALLERGY - SCIE"	2345	5.764	0.98	4.856	1.621	0.004	1.082	53	"SCIE"	"ALLERGY"
170	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	2343	1.39	0.5	1.677	0.172	0.001	0.32	58	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
171	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	2310	1.238	0.38	1.731	0.116	0.001	0.302	92	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
172	"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE"	2238	2.38	1.14	2.54	1.198	0.002	0.586	84	"SCIE"	"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
173	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	2223	0.564	0.22	0.662	0.065	0.003	0.14	276	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
174	"ANESTHESIOLOGY - ESCI"	2214	NA	0.89	NA	1.984	0.003	0.688	47	"ESCI"	"ANESTHESIOLOGY"
175	"ALLERGY - SCIE"	2188	3.479	0.73	3.856	1.042	0.003	1.009	37	"SCIE"	"ALLERGY"
176	"AGRONOMY - SCIE"	2168	4.407	1.32	5.687	1.432	0.004	1.178	91	"SCIE"	"AGRONOMY"
177	"AGRICULTURE, MULTIDISCIPLINARY - SCIE"	2159	1.098	0.41	1.348	0.276	0.002	0.205	123	"SCIE"	"AGRICULTURE, MULTIDISCIPLINARY"
178	"AGRICULTURAL ENGINEERING - SCIE"	2141	2.032	0.35	2.137	0.324	0.003	0.34	180	"SCIE"	"AGRICULTURAL ENGINEERING"
